,小区名称,新房类型,是否在售,行政区,板块,详细地址,建面面积,均价,总价,卧室数,小区标签
0,招商蛇口十里海湾,住宅,在售,上海周边,启东,港枝堤路招商蛇口十里海湾营销中心,建面57-122㎡,7500,总价65-110(万/套),2室/3室/4室, 低单价 低总价 人车分流 大型社区  
1,中交凤启虹桥,住宅,在售,青浦,华新,上海市青浦区新凤中路1688弄，新凤中路1600弄,建面74-140㎡,46500,总价312-660(万/套),2室/3室/4室, 车位充足 绿化率高 国央企 品牌房企  
2,金地新乐里,住宅,在售,松江,车墩,松江车墩镇南姚路和李高路交汇处,建面91-98㎡,35479,总价335(万/套),3室, 绿化率高 低密居所 高品质小区 养老舒适  
3,光明星城,住宅,在售,浦东,泥城镇,莺歌路388弄,建面75-115㎡,26000,总价195-299(万/套),2室/3室/4室, 低单价 低总价 绿化率高 人车分流  
4,中国铁建万科朗拾花语,住宅,在售,闵行,春申,闵行区银都路与虹梅南路交叉口向西约200米(梅陇镇政府旁边),建面86-140㎡,77000,总价650-750(万/套),3室, 车位充足 绿化率高 国央企 品牌房企  
5,永泰三里城,住宅,在售,浦东,三林,上海市浦东新区永泰路335,建面100-201㎡,82000,总价800-1740(万/套),3室/4室, 绿化率高 人车分流 品牌房企 地铁沿线  
6,保利虹桥和颂,住宅,在售,青浦,重固,上海市青浦区,建面74-115㎡,37000,总价273.8-366.3(万/套),2室/3室, 绿化率高 小型社区 国央企 品牌房企  
7,星尚观澜世嘉,住宅,在售,嘉定,嘉定老城,上海市嘉定区招贤东路88弄,建面103-129㎡,45200,总价410-588(万/套),3室/4室, 车位充足 绿化率高 国央企 品牌房企  
8,香逸铂悦,住宅,在售,上海周边,昆山,金变路与远国路交汇处,建面84-109㎡,24900,总价210-247(万/套),2室, 绿化率高 人车分流 国央企 品牌房企  
9,上海长滩,住宅,在售,宝山,淞宝,牡丹江路1875号(近富锦路),建面66-245㎡,57481,总价365-1600(万/套),2室/3室/4室, 人车分流 小型社区 国央企 品牌房企  
